IE_NAME;IP_PROP70;IP_PROP97;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
Корона слим 100 голубая;124;Корона;Белорусские сигареты;Корона;;22250.00
Minsk City nano;165;Минск;Белорусские сигареты;Минск;;20750.00
Minsk Capital nano;164;Минск;Белорусские сигареты;Минск;;20750.00
Minsk 5 SS;166;Минск;Белорусские сигареты;Минск;;23500.00
Кресты ++ синие  (МРЦ 65);95;Кресты;Российские сигареты;;;27000.00
Кресты ++ красные (МРЦ 65);96;Кресты;Российские сигареты;;;27000.00
Фараон (МРЦ 65) ;97;Фараон;Российские сигареты;;;27000.00
Тройка;98;Тройка;Российские сигареты;;;21000.00
Dove Silver KingSize;212;Dove;Белорусские сигареты;Dove;;18500.00
Dove Silver QS (medium);218;Dove;Белорусские сигареты;Dove;;28500.00
Dove Silver Slim;215;Dove;Белорусские сигареты;Dove;;32000.00
Dove Menthol Slim;251;Dove;Белорусские сигареты;Dove;;32000.00
Dove Silver SuperSlims;224;Dove;Белорусские сигареты;Dove;;24000.00
Dove Gold SuperSlims;223;Dove;Белорусские сигареты;Dove;;24000.00
